method,metric,analysis_role,circular,animal_id,sex,tissue,value,n_recordings_collapsed,n_anatomical_units_collapsed,recording_ids
STFT,pre_envelope_log_rate_per_day,secondary,False,20250703_m1,F,DRG,-0.3523997595292011,6,6,4C-T5m1 | 4D-T7m1 | 5A-T10m1 | 8B-L2m1 | 8C-L3m1 | 8D-L4-1m1
STFT,pre_envelope_log_rate_per_day,secondary,False,20250626_M1,M,DRG,-0.3894323974691649,7,7,5C-T12 | 5D-T10 | 6A-T7 | 6B-T5 | 7C-L1 | 7D-L2 | 8A-L3
STFT,pre_envelope_log_rate_per_day,secondary,False,20250703_m1,F,SCN,-0.24910887163121684,1,1,6C-SCNmm1
STFT,pre_envelope_log_rate_per_day,secondary,False,20250703_m2,F,SCN,-0.33247765150895603,2,2,7A-SCNmm2 | 7B-SCNcm2
STFT,pre_envelope_log_rate_per_day,secondary,False,20250728_M1,F,SCN,-0.30444891645605365,2,2,6A-SCNrM1 | 7A-SCNcM1
STFT,pre_envelope_log_rate_per_day,secondary,False,20250728_M2,F,SCN,-0.3740852590347081,2,2,6B-SCNrM2 | 7B-SCNcM2
STFT,pre_envelope_log_rate_per_day,secondary,False,20250811_1F,F,SCN,-0.34507887471797416,1,1,1A-1FSCN
STFT,pre_envelope_log_rate_per_day,secondary,False,20250811_2M,M,SCN,-0.3372724382308298,1,1,1B-2MSCN
STFT,pre_envelope_log_rate_per_day,secondary,False,20250811_3F,F,SCN,-0.1924820234404753,1,1,1C-3FSCN
STFT,pre_envelope_log_rate_per_day,secondary,False,20250811_4F,F,SCN,-0.21580206168825447,1,1,1D-4FSCN
STFT,pre_envelope_log_rate_per_day,secondary,False,20250811_2M,M,DRG,-0.2999127961859742,8,8,2C-2ML1 | 4A-2MT10 | 4C-2MT5 | 5A-2ML2 | 6B-2ML3 | 7D-2MT12 | 8C-2ML4 | 8D-2MT7
STFT,pre_envelope_log_rate_per_day,secondary,False,20250811_1F,F,DRG,-0.27568948061174453,8,7,2D-1FL2 | 3A-1FL4 | 3D-1FT10 | 4D-1FL4 | 5C-1FT7 | 6A-1FL1 | 7C-1FT12 | 8A-1FT5
STFT,pre_envelope_log_rate_per_day,secondary,False,20251003_M1,M,SCN,-0.35848329411410873,1,1,2A- M1SCn
STFT,pre_envelope_log_rate_per_day,secondary,False,20251003_M1,M,DRG,-0.17995530767104906,3,3,2B- 1MT7 | 2C- M1L1 | 2D- M1L4
STFT,pre_envelope_log_rate_per_day,secondary,False,20251003_M2,M,SCN,-0.14064425803919284,1,1,4A- M2SCN
